sdr9@segment.com,Mon-Tue 11:30 am - 1:00 pm
sdr29@segment.com,Wed 12:00 am - 12:30 pm
sdr22@segment.com,"Mon 10:30 am - 11:30 am , Tue 10:00 am - 3:00 pm , Fri 11:00 am - 2:00 pm"
sdr7@segment.com,Tue-Wed 9:45 am - 12:30 pm
sdr23@segment.com,"Mon-Thu 2:00 pm - 3:00 pm , Fri 11:30 am - 4:00 pm"
sdr10@segment.com,Mon-Fri 9:00 am - 4:30 pm
sdr5@segment.com,Fri 11:00 am - 3:30 pm
sdr2@segment.com,"Mon 10:30 am - 11:30 am , Tue 10:00 am - 3:00 pm , Fri 11:00 am - 2:00 pm"
sdr32@segment.com,Fri 11:00 am - 11:30 am
sdr15@segment.com,"Mon-Tue 11:30 am - 1:00 pm, Fri 10:00 am - 12:00 pm"
sdr21@segment.com,"Wed 11:00 am - 3:30 pm , Fri 11:00 am - 2:00 pm"
sdr1@segment.com,"Mon-Wed 10:30 am - 11:30 am , Tue 11:30 am - 3:00 pm , Fri 10:00 am - 2:00 pm"
sdr11@segment.com,Fri 11:00 am - 3:30 pm
sdr20@segment.com,Fri 11:00 am - 11:30 am
